room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost 2nd Home Tipe Executive Palmerah Jakarta Barat,Jakarta Barat,Palmerah,1.00,3100000.00,0.00,0.00,0.00,Kos Campur,12.00,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Kost 38 Lt3 Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,0.00,700000.00,0.00,0.00,0.00,Kos Putra,9.00,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Kost 3tranches Home SCBD Tipe A Kebayoran Baru Jakarta Selatan,Jakarta Selatan,Kebayoran Baru,0.00,3500000.00,4.00,5.00,22.00,Kos Campur,15.00,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Kost 3tranches Home Senopati Kebayoran Baru Jakarta Selatan,Jakarta Selatan,Kebayoran Baru,0.00,3800000.00,0.00,0.00,13.00,Kos Campur,16.00,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Kost 3tranches Home Tipe D Cilandak Jakarta Selatan,Jakarta Selatan,Cilandak,0.00,4000000.00,3.60,1.00,12.00,Kos Campur,27.60,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Kost 93 Suites Primier Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,0.00,3500000.00,0.00,0.00,0.00,Kos Campur,20.00,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
Kost 93 Suites Standart 2 Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,0.00,2200000.00,5.00,1.00,2.00,Kos Campur,12.00,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0
Kost Abah Penjaringan Jakarta Utara,Jakarta Utara,Penjaringan,3.00,800000.00,0.00,0.00,0.00,Kos Campur,6.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Kost Abdi Muwardi Residence Tipe A Grogol Petamburan Jakarta Barat,Jakarta Barat,Grogol Petamburan,2.00,2180000.00,4.60,31.00,81.00,Kos Campur,8.00,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Kost Abigail VVIP Kebon Jeruk Jakarta Barat,Jakarta Barat,Kebon Jeruk,1.00,880000.00,0.00,0.00,0.00,Kos Putri,12.00,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Kost Agung Utara Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,1.00,1600000.00,0.00,0.00,4.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Kost Akim Tipe C Tanjung Priok Jakarta Utara,Jakarta Utara,Tanjung Priok,2.00,1450000.00,0.00,0.00,0.00,Kos Campur,12.00,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Cipayung,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Cipayung,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Cipayung,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kost Alesha Ceger Cipayung Jakarta Timur,Jakarta Timur,Cipayung,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kost Alisha Executive Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,0.00,1850000.00,0.00,0.00,0.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Kost Alisha Executive Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,0.00,1850000.00,0.00,0.00,0.00,Kos Putri,12.00,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
