region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Jakarta Barat,Palmerah,1.0,3100000.0,0.0,0.0,0.0,Kos Campur,12.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Jakarta Utara,Tanjung Priok,0.0,700000.0,0.0,0.0,0.0,Kos Putra,9.0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,0.0,3500000.0,4.0,5.0,22.0,Kos Campur,15.0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Jakarta Selatan,Kebayoran Baru,0.0,3800000.0,0.0,0.0,13.0,Kos Campur,16.0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Jakarta Selatan,Cilandak,0.0,4000000.0,3.6,1.0,12.0,Kos Campur,27.599999999999998,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Jakarta Utara,Kecamatan Tanjung Priok,0.0,3500000.0,0.0,0.0,0.0,Kos Campur,20.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
Jakarta Utara,Kecamatan Tanjung Priok,0.0,2200000.0,5.0,1.0,2.0,Kos Campur,12.0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0
Jakarta Utara,Penjaringan,3.0,800000.0,0.0,0.0,0.0,Kos Campur,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Jakarta Barat,Grogol Petamburan,2.0,2180000.0,4.6,31.0,81.0,Kos Campur,8.0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Jakarta Barat,Kebon Jeruk,1.0,880000.0,0.0,0.0,0.0,Kos Putri,12.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
