region,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_discount,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi
Jakarta Barat,1.00,3100000.00,0.00,0.00,0.00,Kos Campur,12.00,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Jakarta Utara,0.00,700000.00,0.00,0.00,0.00,Kos Putra,9.00,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Jakarta Selatan,0.00,3500000.00,4.00,5.00,22.00,Kos Campur,15.00,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
Jakarta Selatan,0.00,3800000.00,0.00,0.00,13.00,Kos Campur,16.00,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
Jakarta Selatan,0.00,4000000.00,3.60,1.00,12.00,Kos Campur,27.60,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
Jakarta Utara,0.00,3500000.00,0.00,0.00,0.00,Kos Campur,20.00,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0
Jakarta Utara,0.00,2200000.00,5.00,1.00,2.00,Kos Campur,12.00,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
Jakarta Utara,3.00,800000.00,0.00,0.00,0.00,Kos Campur,6.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Jakarta Barat,2.00,2180000.00,4.60,31.00,81.00,Kos Campur,8.00,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Jakarta Barat,1.00,880000.00,0.00,0.00,0.00,Kos Putri,12.00,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
Jakarta Utara,1.00,1600000.00,0.00,0.00,4.00,Kos Putri,12.00,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Jakarta Utara,2.00,1450000.00,0.00,0.00,0.00,Kos Campur,12.00,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Jakarta Timur,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,2.00,1400000.00,0.00,0.00,1.00,Kos Putri,12.00,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jakarta Timur,0.00,1850000.00,0.00,0.00,0.00,Kos Putri,12.00,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Jakarta Timur,0.00,1850000.00,0.00,0.00,0.00,Kos Putri,12.00,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Jakarta Timur,0.00,1850000.00,0.00,0.00,0.00,Kos Putri,12.00,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Jakarta Utara,1.00,2100000.00,0.00,0.00,0.00,Kos Campur,12.00,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
Jakarta Utara,1.00,2200000.00,3.40,1.00,1.00,Kos Campur,16.00,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
Jakarta Utara,0.00,1500000.00,0.00,0.00,2.00,Kos Campur,9.00,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Jakarta Timur,1.00,2200000.00,0.00,0.00,0.00,Kos Putri,13.50,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Jakarta Timur,3.00,1500000.00,0.00,0.00,0.00,Kos Putri,9.00,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
